Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,IMPS,1854316681,Aarav Mehta,6649827836,Saanvi Reddy,63515.39,2024-01-01,03:11:24,-6990014.1,161549.04,None,0
2,DEBIT,NEFT,1854316681,Aarav Mehta,3030106617,Aisha Singh,99068.24,2024-01-05,20:39:41,-879865.43,161549.04,None,0
3,DEBIT,UPI,1854316681,Aarav Mehta,3392080953,Vivaan Das,137428.18,2024-01-07,11:51:44,2788609.3,161549.04,None,0
4,DEBIT,Bank Transfer,1854316681,Aarav Mehta,2139027119,Rohan Kumar,104312.86,2024-01-09,06:29:35,-6605537.14,161549.04,None,0
5,DEBIT,Bank Transfer,1854316681,Aarav Mehta,4733616459,Ishaan Reddy,39985.5,2024-01-12,05:25:45,-13565.92,161549.04,None,0
6,CREDIT,RTGS,5141907136,Diya Iyer,1854316681,Aarav Mehta,16617.57,2024-01-13,22:44:48,-6967327.73,161549.04,None,0
7,CREDIT,RTGS,3553440342,Neha Joshi,1854316681,Aarav Mehta,86155.72,2024-01-25,12:04:14,-4161965.56,161549.04,None,0
8,DEBIT,RTGS,1854316681,Aarav Mehta,2419179580,Ishaan Kapoor,121948.9,2024-01-31,16:11:55,-6187730.39,161549.04,None,0
9,CREDIT,NEFT,9703905715,Aisha Reddy,1854316681,Aarav Mehta,17364.49,2024-02-02,09:35:19,496837.49,161549.04,None,0
10,CREDIT,IMPS,5284391408,Ishaan Iyer,1854316681,Aarav Mehta,28440.19,2024-02-04,05:35:04,2917887.3,161549.04,None,0
11,DEBIT,IMPS,1854316681,Aarav Mehta,1298737106,Krishna Gupta,65290.52,2024-02-15,09:28:01,-1933021.12,161549.04,None,0
12,DEBIT,Bank Transfer,1854316681,Aarav Mehta,4272602734,Kavya Mehta,9732.94,2024-02-16,02:03:10,98156.36,161549.04,None,0
13,CREDIT,IMPS,9292791081,Krishna Gupta,1854316681,Aarav Mehta,49351.26,2024-02-21,20:52:43,-2088308.51,161549.04,None,0
14,DEBIT,Bank Transfer,1854316681,Aarav Mehta,3392080953,Vivaan Das,112084.28,2024-02-23,08:25:55,-3564776.38,161549.04,None,0
15,DEBIT,UPI,1854316681,Aarav Mehta,3553440342,Neha Joshi,38588.4,2024-02-24,09:05:29,-6850527.08,161549.04,None,0
16,DEBIT,NEFT,1854316681,Aarav Mehta,3342331444,Kavya Mehta,95103.22,2024-03-12,01:50:35,-974968.65,161549.04,None,0
17,CREDIT,NEFT,9703905715,Aisha Reddy,1854316681,Aarav Mehta,53610.43,2024-03-15,06:15:48,789894.83,161549.04,None,0
18,CREDIT,IMPS,6488854841,Vihaan Kapoor,1854316681,Aarav Mehta,4214.83,2024-03-18,03:07:30,1761017.83,161549.04,None,0
19,DEBIT,NEFT,1854316681,Aarav Mehta,3783290795,Diya Nair,48580.45,2024-03-25,01:51:46,-4594370.63,161549.04,None,0
20,CREDIT,NEFT,3181106786,Kabir Gupta,1854316681,Aarav Mehta,103055.44,2024-03-30,08:37:43,-4282075.31,161549.04,None,0
21,DEBIT,NEFT,1854316681,Aarav Mehta,3373077218,Vivaan Singh,144977.71,2024-04-01,08:41:31,-3842295.31,161549.04,None,0
22,CREDIT,RTGS,2986972437,Krishna Sharma,1854316681,Aarav Mehta,109761.55,2024-04-05,04:10:29,-4905799.58,161549.04,None,0
23,DEBIT,NEFT,1854316681,Aarav Mehta,2119980130,Rahul Kumar,114973.97,2024-04-10,10:57:41,-2361922.03,161549.04,None,0
24,CREDIT,Bank Transfer,2119980130,Rahul Kumar,1854316681,Aarav Mehta,31451.71,2024-04-18,02:37:23,-3987664.05,161549.04,None,0
25,CREDIT,IMPS,4745927824,Kabir Reddy,1854316681,Aarav Mehta,109690.27,2024-04-19,20:31:10,-1803500.56,161549.04,None,0
26,DEBIT,RTGS,1854316681,Aarav Mehta,9680276057,Vivaan Reddy,73483.71,2024-04-20,15:48:33,2466682.24,161549.04,None,0
27,CREDIT,IMPS,3783290795,Diya Nair,1854316681,Aarav Mehta,67377.36,2024-04-25,16:24:19,2038265.21,161549.04,None,0
28,CREDIT,Bank Transfer,5284391408,Ishaan Iyer,1854316681,Aarav Mehta,43820.45,2024-04-29,08:18:22,3107151.62,161549.04,None,0
29,CREDIT,UPI,5284391408,Ishaan Iyer,1854316681,Aarav Mehta,143742.65,2024-04-29,12:48:13,2826908.26,161549.04,None,0
30,CREDIT,RTGS,5047709743,Vihaan Das,1854316681,Aarav Mehta,70286.05,2024-05-03,00:09:39,3532240.6,161549.04,None,0
31,CREDIT,NEFT,9703905715,Aisha Reddy,1854316681,Aarav Mehta,48249.59,2024-05-04,09:11:07,838144.42,161549.04,None,0
32,DEBIT,Bank Transfer,1854316681,Aarav Mehta,3373077218,Vivaan Singh,87965.45,2024-05-04,19:36:08,1491227.79,161549.04,None,0
33,CREDIT,IMPS,5736462531,Ishaan Reddy,1854316681,Aarav Mehta,71048.42,2024-05-05,01:59:17,-2383282.02,161549.04,None,0
34,DEBIT,NEFT,1854316681,Aarav Mehta,4713453204,Saanvi Das,91927.59,2024-05-06,09:39:53,-1133597.73,161549.04,None,0
35,CREDIT,RTGS,6687206971,Kabir Mehta,1854316681,Aarav Mehta,42405.28,2024-05-08,08:06:23,-7239960.81,161549.04,None,0
36,DEBIT,UPI,1854316681,Aarav Mehta,3746317213,Krishna Iyer,18088.06,2024-05-08,08:55:49,-5464428.72,161549.04,None,0
37,CREDIT,NEFT,2986972437,Krishna Sharma,1854316681,Aarav Mehta,106740.09,2024-05-09,01:10:28,-5055635.34,161549.04,None,0
38,CREDIT,Bank Transfer,2445662585,Vivaan Kapoor,1854316681,Aarav Mehta,62130.13,2024-05-11,13:49:36,1345558.25,161549.04,None,0
39,CREDIT,UPI,2445662585,Vivaan Kapoor,1854316681,Aarav Mehta,62454.72,2024-05-13,08:53:56,1518270.64,161549.04,None,0
40,DEBIT,NEFT,1854316681,Aarav Mehta,3783290795,Diya Nair,74738.97,2024-05-15,06:56:47,-1538443.28,161549.04,None,0
41,DEBIT,UPI,1854316681,Aarav Mehta,9292791081,Krishna Gupta,131472.43,2024-05-18,01:26:31,991526.73,161549.04,None,0
42,CREDIT,Bank Transfer,4733616459,Ishaan Reddy,1854316681,Aarav Mehta,96920.1,2024-05-18,23:20:14,1151162.36,161549.04,None,0
43,DEBIT,RTGS,1854316681,Aarav Mehta,4745927824,Kabir Reddy,103800.05,2024-05-19,04:56:44,-5388963.73,161549.04,None,0
44,CREDIT,Bank Transfer,9703905715,Aisha Reddy,1854316681,Aarav Mehta,11601.98,2024-05-20,06:29:51,508439.47,161549.04,None,0
45,CREDIT,UPI,6687206971,Kabir Mehta,1854316681,Aarav Mehta,82776.18,2024-06-02,21:27:13,-7323811.95,161549.04,None,0
46,CREDIT,RTGS,6687206971,Kabir Mehta,1854316681,Aarav Mehta,70861.52,2024-06-05,12:40:06,-7169099.29,161549.04,None,0
47,DEBIT,UPI,1854316681,Aarav Mehta,5047709743,Vihaan Das,71736.78,2024-06-05,14:26:14,26419.58,161549.04,None,0
48,CREDIT,Bank Transfer,9703905715,Aisha Reddy,1854316681,Aarav Mehta,126679.82,2024-06-06,02:48:03,693293.03,161549.04,None,0
49,DEBIT,IMPS,1854316681,Aarav Mehta,8086172302,Aditya Singh,108921.03,2024-06-07,08:53:27,-4994612.63,161549.04,None,0
50,CREDIT,NEFT,5067116918,Ritika Das,1854316681,Aarav Mehta,52323.01,2024-06-10,10:30:50,-7101301.62,161549.04,None,0
51,CREDIT,IMPS,7114223633,Saanvi Das,1854316681,Aarav Mehta,133049.0,2024-06-12,11:11:31,-5432289.36,161549.04,None,0
52,DEBIT,IMPS,1854316681,Aarav Mehta,3030106617,Aisha Singh,66165.49,2024-06-18,15:06:04,151928.83,161549.04,None,0
53,DEBIT,RTGS,1854316681,Aarav Mehta,6971815972,Ritika Iyer,27379.45,2024-06-20,05:58:47,452780.82,161549.04,None,0
54,CREDIT,NEFT,8507497883,Kavya Patel,1854316681,Aarav Mehta,30655.6,2024-06-20,12:37:29,-4603949.85,161549.04,None,0
55,DEBIT,UPI,1854316681,Aarav Mehta,6488854841,Vihaan Kapoor,43717.38,2024-06-22,00:38:29,-2663459.74,161549.04,None,0
56,CREDIT,Bank Transfer,3392080953,Vivaan Das,1854316681,Aarav Mehta,51060.89,2024-06-30,18:24:41,2179110.12,161549.04,None,0
57,DEBIT,IMPS,1854316681,Aarav Mehta,9292791081,Krishna Gupta,112972.93,2024-07-01,06:13:58,-6501224.28,161549.04,None,0
58,DEBIT,UPI,1854316681,Aarav Mehta,4700855390,Rohan Nair,120096.89,2024-07-10,03:27:41,-6725634.03,161549.04,None,0
59,DEBIT,NEFT,1854316681,Aarav Mehta,5067116918,Ritika Das,46402.82,2024-07-10,19:04:19,-3611179.2,161549.04,None,0
60,DEBIT,RTGS,1854316681,Aarav Mehta,9703905715,Aisha Reddy,148871.62,2024-07-12,08:51:28,2317810.62,161549.04,None,0
61,DEBIT,Bank Transfer,1854316681,Aarav Mehta,5067116918,Ritika Das,115715.01,2024-07-15,05:04:47,-3136462.54,161549.04,None,0
