Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,Bank Transfer,4713453204,Saanvi Das,5047709743,Vihaan Das,137390.38,2024-01-09,06:41:36,736067.11,810771.72,Personal Loan,98333.41
2,DEBIT,IMPS,4713453204,Saanvi Das,1298737106,Krishna Gupta,125348.3,2024-01-13,05:10:38,1810943.0,810771.72,Personal Loan,98333.41
3,DEBIT,IMPS,4713453204,Saanvi Das,3746317213,Krishna Iyer,72103.37,2024-01-15,23:38:09,7239490.64,810771.72,Personal Loan,98333.41
4,CREDIT,IMPS,3392080953,Vivaan Das,4713453204,Saanvi Das,22517.25,2024-01-16,03:13:08,2108574.84,810771.72,Personal Loan,98333.41
5,DEBIT,NEFT,4713453204,Saanvi Das,2445662585,Vivaan Kapoor,33136.56,2024-01-16,20:59:17,6985181.37,810771.72,Personal Loan,98333.41
6,CREDIT,RTGS,6649827836,Saanvi Reddy,4713453204,Saanvi Das,97951.6,2024-01-18,18:18:16,2344870.73,810771.72,Personal Loan,98333.41
7,CREDIT,RTGS,1540137296,Simran Gupta,4713453204,Saanvi Das,16618.86,2024-01-26,18:26:34,3993570.0,810771.72,Personal Loan,98333.41
8,CREDIT,UPI,3553440342,Neha Joshi,4713453204,Saanvi Das,19405.09,2024-01-28,21:55:35,6669580.38,810771.72,Personal Loan,98333.41
9,DEBIT,IMPS,4713453204,Saanvi Das,4700855390,Rohan Nair,69736.51,2024-01-31,00:33:19,1352659.7,810771.72,Personal Loan,98333.41
10,CREDIT,NEFT,8507497883,Kavya Patel,4713453204,Saanvi Das,14716.93,2024-02-03,04:24:38,6636250.07,810771.72,Personal Loan,98333.41
11,CREDIT,RTGS,3783290795,Diya Nair,4713453204,Saanvi Das,102937.93,2024-02-06,21:34:26,1802718.28,810771.72,Personal Loan,98333.41
12,CREDIT,UPI,2119980130,Rahul Kumar,4713453204,Saanvi Das,52302.31,2024-02-07,07:54:05,6984812.84,810771.72,Personal Loan,98333.41
13,DEBIT,UPI,4713453204,Saanvi Das,4733616459,Ishaan Reddy,63403.2,2024-02-09,06:15:22,1422396.21,810771.72,Personal Loan,98333.41
14,DEBIT,Bank Transfer,4713453204,Saanvi Das,8047877267,Vihaan Joshi,1003.36,2024-02-09,10:57:22,3293366.57,810771.72,Personal Loan,98333.41
15,DEBIT,IMPS,4713453204,Saanvi Das,1311570307,Aryan Joshi,105699.11,2024-02-12,21:47:41,2641410.8,810771.72,Personal Loan,98333.41
16,DEBIT,NEFT,4713453204,Saanvi Das,4733616459,Ishaan Reddy,61024.9,2024-02-16,22:17:36,3584359.91,810771.72,Personal Loan,98333.41
17,CREDIT,IMPS,9703905715,Aisha Reddy,4713453204,Saanvi Das,101943.65,2024-02-18,09:00:23,961616.61,810771.72,Personal Loan,98333.41
18,DEBIT,RTGS,4713453204,Saanvi Das,8217611860,Meera Joshi,143689.62,2024-02-20,12:06:34,592377.49,810771.72,Personal Loan,98333.41
19,CREDIT,RTGS,7114223633,Saanvi Das,4713453204,Saanvi Das,140200.2,2024-02-23,04:00:43,5704212.75,810771.72,Personal Loan,98333.41
20,CREDIT,UPI,8110054933,Ishaan Reddy,4713453204,Saanvi Das,86887.05,2024-02-25,16:12:49,2651938.62,810771.72,Personal Loan,98333.41
21,DEBIT,Bank Transfer,4713453204,Saanvi Das,9680276057,Vivaan Reddy,128126.88,2024-03-11,20:37:47,5393744.67,810771.72,Personal Loan,98333.41
22,CREDIT,UPI,6488854841,Vihaan Kapoor,4713453204,Saanvi Das,17473.57,2024-03-12,06:52:09,1699780.35,810771.72,Personal Loan,98333.41
23,DEBIT,IMPS,4713453204,Saanvi Das,5067116918,Ritika Das,128736.93,2024-03-13,18:43:17,6745629.77,810771.72,Personal Loan,98333.41
24,DEBIT,IMPS,4713453204,Saanvi Das,5736462531,Ishaan Reddy,31015.68,2024-04-02,15:24:08,2442309.31,810771.72,Personal Loan,98333.41
25,DEBIT,Bank Transfer,4713453204,Saanvi Das,3342331444,Kavya Mehta,69157.82,2024-04-04,23:41:34,4975445.69,810771.72,Personal Loan,98333.41
26,DEBIT,IMPS,4713453204,Saanvi Das,2015242176,Rohan Gupta,99720.46,2024-04-05,01:45:17,4759376.45,810771.72,Personal Loan,98333.41
27,CREDIT,Bank Transfer,8507497883,Kavya Patel,4713453204,Saanvi Das,60616.84,2024-04-07,19:36:31,6621533.14,810771.72,Personal Loan,98333.41
