Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,Bank Transfer,3373077218,Vivaan Singh,6971815972,Ritika Iyer,60379.58,2024-01-06,13:59:09,3895435.32,41828.86,Education Loan,1803013.9
2,DEBIT,RTGS,3373077218,Vivaan Singh,2445662585,Vivaan Kapoor,71146.75,2024-01-10,18:27:30,600768.94,41828.86,Education Loan,1803013.9
3,DEBIT,Bank Transfer,3373077218,Vivaan Singh,8047877267,Vihaan Joshi,14234.53,2024-01-14,02:14:46,2697406.97,41828.86,Education Loan,1803013.9
4,DEBIT,Bank Transfer,3373077218,Vivaan Singh,9680276057,Vivaan Reddy,149869.18,2024-01-16,00:35:02,-870542.34,41828.86,Education Loan,1803013.9
5,DEBIT,IMPS,3373077218,Vivaan Singh,5284391408,Ishaan Iyer,7634.05,2024-01-19,15:21:46,1593056.15,41828.86,Education Loan,1803013.9
6,DEBIT,Bank Transfer,3373077218,Vivaan Singh,3392080953,Vivaan Das,143157.04,2024-01-27,10:27:50,168239.88,41828.86,Education Loan,1803013.9
7,CREDIT,RTGS,5047709743,Vihaan Das,3373077218,Vivaan Singh,9199.63,2024-01-30,13:06:15,2338428.92,41828.86,Education Loan,1803013.9
8,DEBIT,UPI,3373077218,Vivaan Singh,3783290795,Diya Nair,101032.85,2024-02-01,00:43:44,7057908.03,41828.86,Education Loan,1803013.9
9,DEBIT,Bank Transfer,3373077218,Vivaan Singh,5067116918,Ritika Das,119157.61,2024-02-03,13:35:41,4042127.29,41828.86,Education Loan,1803013.9
10,DEBIT,IMPS,3373077218,Vivaan Singh,8110054933,Ishaan Reddy,56436.56,2024-02-05,02:44:10,65970.19,41828.86,Education Loan,1803013.9
11,DEBIT,Bank Transfer,3373077218,Vivaan Singh,3746317213,Krishna Iyer,133137.44,2024-02-05,04:58:19,7782702.38,41828.86,Education Loan,1803013.9
12,DEBIT,IMPS,3373077218,Vivaan Singh,6687206971,Kabir Mehta,108057.99,2024-02-07,10:45:11,-115266.73,41828.86,Education Loan,1803013.9
13,CREDIT,RTGS,5284391408,Ishaan Iyer,3373077218,Vivaan Singh,68946.5,2024-02-07,22:12:00,2101645.54,41828.86,Education Loan,1803013.9
14,DEBIT,Bank Transfer,3373077218,Vivaan Singh,3392080953,Vivaan Das,116877.5,2024-02-19,09:29:52,1416215.14,41828.86,Education Loan,1803013.9
15,DEBIT,IMPS,3373077218,Vivaan Singh,4272602734,Kavya Mehta,116371.38,2024-02-24,13:10:27,3220427.6,41828.86,Education Loan,1803013.9
16,CREDIT,RTGS,8086172302,Aditya Singh,3373077218,Vivaan Singh,103221.84,2024-02-29,14:02:48,4559451.81,41828.86,Education Loan,1803013.9
17,DEBIT,Bank Transfer,3373077218,Vivaan Singh,5047709743,Vihaan Das,108553.69,2024-03-06,15:39:41,6441528.21,41828.86,Education Loan,1803013.9
18,DEBIT,RTGS,3373077218,Vivaan Singh,3030106617,Aisha Singh,86312.39,2024-03-10,18:07:39,3955814.9,41828.86,Education Loan,1803013.9
19,DEBIT,NEFT,3373077218,Vivaan Singh,4700855390,Rohan Nair,70254.75,2024-03-14,00:03:58,7574901.34,41828.86,Education Loan,1803013.9
20,DEBIT,RTGS,3373077218,Vivaan Singh,7114223633,Saanvi Das,45186.25,2024-03-19,05:15:18,-1329376.11,41828.86,Education Loan,1803013.9
21,CREDIT,NEFT,1854316681,Aarav Mehta,3373077218,Vivaan Singh,144977.71,2024-04-01,08:41:31,3328254.83,41828.86,Education Loan,1803013.9
22,CREDIT,RTGS,2015242176,Rohan Gupta,3373077218,Vivaan Singh,21548.2,2024-04-01,16:28:18,5686497.51,41828.86,Education Loan,1803013.9
23,DEBIT,UPI,3373077218,Vivaan Singh,2139027119,Rohan Kumar,47016.97,2024-04-03,02:26:43,1112852.2,41828.86,Education Loan,1803013.9
24,DEBIT,UPI,3373077218,Vivaan Singh,5141907136,Diya Iyer,36374.97,2024-04-03,18:08:48,5722100.64,41828.86,Education Loan,1803013.9
25,DEBIT,Bank Transfer,3373077218,Vivaan Singh,3030106617,Aisha Singh,108244.11,2024-04-18,20:42:49,1191034.05,41828.86,Education Loan,1803013.9
26,CREDIT,UPI,9292791081,Krishna Gupta,3373077218,Vivaan Singh,34816.74,2024-04-26,07:23:59,-1326860.05,41828.86,Education Loan,1803013.9
27,DEBIT,UPI,3373077218,Vivaan Singh,6488854841,Vihaan Kapoor,86393.42,2024-05-03,23:54:49,6971514.61,41828.86,Education Loan,1803013.9
28,CREDIT,Bank Transfer,1854316681,Aarav Mehta,3373077218,Vivaan Singh,87965.45,2024-05-04,19:36:08,3097138.72,41828.86,Education Loan,1803013.9
29,CREDIT,IMPS,2986972437,Krishna Sharma,3373077218,Vivaan Singh,20893.37,2024-05-06,01:42:00,5516758.67,41828.86,Education Loan,1803013.9
30,CREDIT,UPI,3783290795,Diya Nair,3373077218,Vivaan Singh,49824.13,2024-05-15,23:00:56,1580379.74,41828.86,Education Loan,1803013.9
31,CREDIT,Bank Transfer,1311570307,Aryan Joshi,3373077218,Vivaan Singh,17775.31,2024-05-17,09:10:10,6862550.66,41828.86,Education Loan,1803013.9
32,DEBIT,Bank Transfer,3373077218,Vivaan Singh,7393195616,Vihaan Sharma,83667.79,2024-05-17,14:09:25,-1071393.01,41828.86,Education Loan,1803013.9
33,DEBIT,IMPS,3373077218,Vivaan Singh,3181106786,Kabir Gupta,87258.18,2024-05-21,05:41:54,-413365.89,41828.86,Education Loan,1803013.9
34,CREDIT,Bank Transfer,8380507338,Ritika Sharma,3373077218,Vivaan Singh,137385.9,2024-05-23,12:03:21,6036138.23,41828.86,Education Loan,1803013.9
35,CREDIT,IMPS,6488854841,Vihaan Kapoor,3373077218,Vivaan Singh,67934.62,2024-05-31,08:42:55,1341602.73,41828.86,Education Loan,1803013.9
36,CREDIT,UPI,6687206971,Kabir Mehta,3373077218,Vivaan Singh,66920.89,2024-06-02,05:28:09,3750949.41,41828.86,Education Loan,1803013.9
37,DEBIT,RTGS,3373077218,Vivaan Singh,9680276057,Vivaan Reddy,78923.49,2024-06-03,03:04:08,1600690.2,41828.86,Education Loan,1803013.9
38,CREDIT,NEFT,8380507338,Ritika Sharma,3373077218,Vivaan Singh,11649.42,2024-06-06,16:34:42,6047787.65,41828.86,Education Loan,1803013.9
39,DEBIT,RTGS,3373077218,Vivaan Singh,3553440342,Neha Joshi,147769.38,2024-06-13,03:13:41,3336798.98,41828.86,Education Loan,1803013.9
40,DEBIT,Bank Transfer,3373077218,Vivaan Singh,8110054933,Ishaan Reddy,62940.48,2024-06-16,14:08:36,1687451.18,41828.86,Education Loan,1803013.9
41,DEBIT,NEFT,3373077218,Vivaan Singh,3783290795,Diya Nair,15954.73,2024-06-20,13:30:20,-326107.71,41828.86,Education Loan,1803013.9
