Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,CREDIT,Bank Transfer,5047709743,Vihaan Das,7393195616,Vihaan Sharma,87893.04,2024-01-07,09:49:05,3912624.53,846103.71,Home Loan,1286854.67
2,CREDIT,RTGS,8507497883,Kavya Patel,7393195616,Vihaan Sharma,113623.23,2024-01-10,20:59:28,7601510.59,846103.71,Home Loan,1286854.67
3,DEBIT,Bank Transfer,7393195616,Vihaan Sharma,5047709743,Vihaan Das,23738.23,2024-01-13,09:22:13,6010269.77,846103.71,Home Loan,1286854.67
4,CREDIT,Bank Transfer,3342331444,Kavya Mehta,7393195616,Vihaan Sharma,59431.28,2024-01-13,13:54:50,798869.78,846103.71,Home Loan,1286854.67
5,DEBIT,RTGS,7393195616,Vihaan Sharma,2986972437,Krishna Sharma,54843.5,2024-01-17,15:09:17,3342664.72,846103.71,Home Loan,1286854.67
6,DEBIT,IMPS,7393195616,Vihaan Sharma,8217611860,Meera Joshi,1496.96,2024-01-26,05:32:06,3629365.33,846103.71,Home Loan,1286854.67
7,DEBIT,UPI,7393195616,Vihaan Sharma,1311570307,Aryan Joshi,121443.96,2024-01-26,10:53:47,2789177.04,846103.71,Home Loan,1286854.67
8,CREDIT,Bank Transfer,3553440342,Neha Joshi,7393195616,Vihaan Sharma,55647.37,2024-01-29,01:06:30,7782924.74,846103.71,Home Loan,1286854.67
9,CREDIT,UPI,1540137296,Simran Gupta,7393195616,Vihaan Sharma,85137.35,2024-02-18,20:33:31,4905923.8,846103.71,Home Loan,1286854.67
10,DEBIT,NEFT,7393195616,Vihaan Sharma,8047877267,Vihaan Joshi,28329.71,2024-02-28,07:35:16,4063770.68,846103.71,Home Loan,1286854.67
11,DEBIT,Bank Transfer,7393195616,Vihaan Sharma,3392080953,Vivaan Das,47567.02,2024-03-03,07:09:26,1886662.65,846103.71,Home Loan,1286854.67
12,CREDIT,IMPS,8380507338,Ritika Sharma,7393195616,Vihaan Sharma,85842.39,2024-03-03,19:20:00,7068586.31,846103.71,Home Loan,1286854.67
13,CREDIT,RTGS,8217611860,Meera Joshi,7393195616,Vihaan Sharma,82650.85,2024-03-06,14:32:12,3700367.15,846103.71,Home Loan,1286854.67
14,DEBIT,NEFT,7393195616,Vihaan Sharma,9703905715,Aisha Reddy,36740.63,2024-03-07,15:49:41,5590830.12,846103.71,Home Loan,1286854.67
