Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,CREDIT,IMPS,8380507338,Ritika Sharma,9256195745,Ananya Mehta,148228.88,2024-01-01,07:56:43,-1641585.06,293178.28,None,0
2,CREDIT,RTGS,3553440342,Neha Joshi,9256195745,Ananya Mehta,90478.78,2024-01-01,17:18:56,-688070.4,293178.28,None,0
3,DEBIT,UPI,9256195745,Ananya Mehta,6971815972,Ritika Iyer,49160.66,2024-01-04,20:12:11,-1886890.99,293178.28,None,0
4,DEBIT,IMPS,9256195745,Ananya Mehta,1311570307,Aryan Joshi,64489.97,2024-01-07,21:54:34,1258510.58,293178.28,None,0
5,DEBIT,Bank Transfer,9256195745,Ananya Mehta,2445662585,Vivaan Kapoor,79623.19,2024-01-14,03:57:40,-3487154.87,293178.28,None,0
6,DEBIT,RTGS,9256195745,Ananya Mehta,4733616459,Ishaan Reddy,129841.78,2024-01-15,21:17:47,201844.98,293178.28,None,0
7,DEBIT,IMPS,9256195745,Ananya Mehta,3746317213,Krishna Iyer,106214.3,2024-01-18,15:10:52,-5115625.91,293178.28,None,0
8,DEBIT,NEFT,9256195745,Ananya Mehta,2445662585,Vivaan Kapoor,79290.15,2024-01-19,17:53:26,-4209156.34,293178.28,None,0
9,DEBIT,IMPS,9256195745,Ananya Mehta,3746317213,Krishna Iyer,6701.28,2024-01-20,02:07:57,-5801905.79,293178.28,None,0
10,DEBIT,NEFT,9256195745,Ananya Mehta,3342331444,Kavya Mehta,88145.79,2024-01-22,10:15:22,-4419659.37,293178.28,None,0
11,CREDIT,UPI,3342331444,Kavya Mehta,9256195745,Ananya Mehta,99449.03,2024-02-03,04:15:49,352611.73,293178.28,None,0
12,CREDIT,Bank Transfer,1540137296,Simran Gupta,9256195745,Ananya Mehta,140252.89,2024-02-05,22:45:08,-3616509.07,293178.28,None,0
13,CREDIT,RTGS,8110054933,Ishaan Reddy,9256195745,Ananya Mehta,66621.74,2024-02-08,17:38:08,-5790958.76,293178.28,None,0
14,CREDIT,RTGS,3553440342,Neha Joshi,9256195745,Ananya Mehta,122744.03,2024-02-12,08:40:53,-890454.05,293178.28,None,0
15,CREDIT,UPI,4272602734,Kavya Mehta,9256195745,Ananya Mehta,2504.16,2024-02-13,09:50:02,-4921506.23,293178.28,None,0
16,CREDIT,NEFT,9703905715,Aisha Reddy,9256195745,Ananya Mehta,56299.41,2024-02-13,18:54:28,878296.14,293178.28,None,0
17,DEBIT,IMPS,9256195745,Ananya Mehta,6649827836,Saanvi Reddy,12492.33,2024-02-17,22:34:13,-44542.61,293178.28,None,0
18,DEBIT,RTGS,9256195745,Ananya Mehta,6687206971,Kabir Mehta,131234.0,2024-02-20,01:38:10,-575383.77,293178.28,None,0
19,CREDIT,UPI,5736462531,Ishaan Reddy,9256195745,Ananya Mehta,121157.4,2024-02-20,09:13:01,825773.01,293178.28,None,0
20,CREDIT,Bank Transfer,1298737106,Krishna Gupta,9256195745,Ananya Mehta,59281.17,2024-02-23,22:46:19,-6557703.11,293178.28,None,0
21,CREDIT,RTGS,6464693977,Vihaan Joshi,9256195745,Ananya Mehta,76140.66,2024-02-23,23:53:16,118542.41,293178.28,None,0
22,DEBIT,Bank Transfer,9256195745,Ananya Mehta,8110054933,Ishaan Reddy,139680.9,2024-02-24,22:26:58,-6012404.2,293178.28,None,0
23,CREDIT,RTGS,3181106786,Kabir Gupta,9256195745,Ananya Mehta,69348.6,2024-03-04,08:20:45,-1165202.61,293178.28,None,0
