Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,Bank Transfer,4733616459,Ishaan Reddy,5310195918,Meera Joshi,115637.83,2024-01-09,01:10:41,-5885512.64,159659.32,Personal Loan,713488.51
2,CREDIT,Bank Transfer,1854316681,Aarav Mehta,4733616459,Ishaan Reddy,39985.5,2024-01-12,05:25:45,-6420082.88,159659.32,Personal Loan,713488.51
3,CREDIT,RTGS,9256195745,Ananya Mehta,4733616459,Ishaan Reddy,129841.78,2024-01-15,21:17:47,-8675251.37,159659.32,Personal Loan,713488.51
4,CREDIT,NEFT,6687206971,Kabir Mehta,4733616459,Ishaan Reddy,93930.7,2024-01-17,04:02:43,-6192185.61,159659.32,Personal Loan,713488.51
5,DEBIT,NEFT,4733616459,Ishaan Reddy,1540137296,Simran Gupta,45361.68,2024-01-18,18:21:18,-7304633.22,159659.32,Personal Loan,713488.51
6,CREDIT,RTGS,5067116918,Ritika Das,4733616459,Ishaan Reddy,31802.78,2024-02-05,15:22:01,-5918429.56,159659.32,Personal Loan,713488.51
7,CREDIT,UPI,4713453204,Saanvi Das,4733616459,Ishaan Reddy,63403.2,2024-02-09,06:15:22,-1630796.14,159659.32,Personal Loan,713488.51
8,DEBIT,NEFT,4733616459,Ishaan Reddy,5047709743,Vihaan Das,118576.92,2024-02-10,19:56:22,460689.59,159659.32,Personal Loan,713488.51
9,DEBIT,Bank Transfer,4733616459,Ishaan Reddy,1311570307,Aryan Joshi,46220.91,2024-02-11,09:28:40,-3912593.56,159659.32,Personal Loan,713488.51
10,DEBIT,UPI,4733616459,Ishaan Reddy,9703905715,Aisha Reddy,123802.92,2024-02-14,01:50:25,-1043059.96,159659.32,Personal Loan,713488.51
11,CREDIT,UPI,8325785916,Ananya Mehta,4733616459,Ishaan Reddy,91477.75,2024-02-15,00:56:33,-2045359.67,159659.32,Personal Loan,713488.51
12,CREDIT,NEFT,2119980130,Rahul Kumar,4733616459,Ishaan Reddy,104355.69,2024-02-16,10:40:08,-3364613.5,159659.32,Personal Loan,713488.51
13,CREDIT,NEFT,4713453204,Saanvi Das,4733616459,Ishaan Reddy,61024.9,2024-02-16,22:17:36,-1694199.34,159659.32,Personal Loan,713488.51
14,DEBIT,RTGS,4733616459,Ishaan Reddy,4745927824,Kabir Reddy,85863.37,2024-02-17,01:08:24,-1271210.5,159659.32,Personal Loan,713488.51
15,DEBIT,IMPS,4733616459,Ishaan Reddy,8217611860,Meera Joshi,80319.33,2024-02-27,22:34:45,-6153845.95,159659.32,Personal Loan,713488.51
16,CREDIT,UPI,2419179580,Ishaan Kapoor,4733616459,Ishaan Reddy,69768.0,2024-03-02,21:30:31,-5006037.32,159659.32,Personal Loan,713488.51
17,DEBIT,UPI,4733616459,Ishaan Reddy,8380507338,Ritika Sharma,60267.92,2024-03-03,12:48:42,-3251019.38,159659.32,Personal Loan,713488.51
18,CREDIT,IMPS,2119980130,Rahul Kumar,4733616459,Ishaan Reddy,119823.94,2024-03-03,19:37:48,-3153989.3,159659.32,Personal Loan,713488.51
