Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,NEFT,2139027119,Rohan Kumar,2015242176,Rohan Gupta,107985.2,2024-01-01,15:49:24,6784443.74,880864.17,Car Loan,770577.82
2,CREDIT,RTGS,3392080953,Vivaan Das,2139027119,Rohan Kumar,80938.97,2024-01-02,20:44:48,2650953.08,880864.17,Car Loan,770577.82
3,DEBIT,RTGS,2139027119,Rohan Kumar,3181106786,Kabir Gupta,143468.27,2024-01-05,10:18:49,5669209.28,880864.17,Car Loan,770577.82
4,CREDIT,Bank Transfer,1854316681,Aarav Mehta,2139027119,Rohan Kumar,104312.86,2024-01-09,06:29:35,4186423.27,880864.17,Car Loan,770577.82
5,CREDIT,RTGS,8047877267,Vihaan Joshi,2139027119,Rohan Kumar,118142.47,2024-01-17,11:26:26,3758248.85,880864.17,Car Loan,770577.82
6,CREDIT,Bank Transfer,8086172302,Aditya Singh,2139027119,Rohan Kumar,129058.14,2024-01-29,02:37:31,4906772.62,880864.17,Car Loan,770577.82
7,CREDIT,IMPS,8316648259,Aarav Iyer,2139027119,Rohan Kumar,147943.4,2024-01-30,15:58:23,-1531360.05,880864.17,Car Loan,770577.82
8,CREDIT,Bank Transfer,3553440342,Neha Joshi,2139027119,Rohan Kumar,20665.25,2024-01-31,05:36:50,8002791.17,880864.17,Car Loan,770577.82
9,DEBIT,IMPS,2139027119,Rohan Kumar,1540137296,Simran Gupta,116985.85,2024-02-04,01:38:31,6436815.66,880864.17,Car Loan,770577.82
10,CREDIT,IMPS,5141907136,Diya Iyer,2139027119,Rohan Kumar,81126.65,2024-02-05,00:26:40,4777714.48,880864.17,Car Loan,770577.82
11,CREDIT,IMPS,7114223633,Saanvi Das,2139027119,Rohan Kumar,112172.78,2024-02-05,22:39:31,6139089.35,880864.17,Car Loan,770577.82
12,DEBIT,Bank Transfer,2139027119,Rohan Kumar,8325785916,Ananya Mehta,43443.91,2024-02-13,21:25:16,6171221.04,880864.17,Car Loan,770577.82
13,DEBIT,Bank Transfer,2139027119,Rohan Kumar,1540137296,Simran Gupta,80673.94,2024-02-15,08:03:57,3768692.09,880864.17,Car Loan,770577.82
14,CREDIT,IMPS,5067116918,Ritika Das,2139027119,Rohan Kumar,130584.5,2024-02-16,21:24:20,4696587.83,880864.17,Car Loan,770577.82
15,DEBIT,IMPS,2139027119,Rohan Kumar,1298737106,Krishna Gupta,64394.77,2024-02-19,00:51:29,6214664.95,880864.17,Car Loan,770577.82
16,CREDIT,Bank Transfer,2419179580,Ishaan Kapoor,2139027119,Rohan Kumar,16841.32,2024-02-26,21:00:26,5758825.9,880864.17,Car Loan,770577.82
17,CREDIT,IMPS,7114223633,Saanvi Das,2139027119,Rohan Kumar,141679.76,2024-03-02,06:53:56,6280769.11,880864.17,Car Loan,770577.82
18,DEBIT,Bank Transfer,2139027119,Rohan Kumar,9292791081,Krishna Gupta,82038.51,2024-03-05,23:34:08,5812677.55,880864.17,Car Loan,770577.82
19,DEBIT,NEFT,2139027119,Rohan Kumar,8110054933,Ishaan Reddy,147153.79,2024-03-09,00:38:29,6637289.95,880864.17,Car Loan,770577.82
20,CREDIT,NEFT,9292791081,Krishna Gupta,2139027119,Rohan Kumar,43918.39,2024-03-10,21:49:46,114151.54,880864.17,Car Loan,770577.82
21,CREDIT,UPI,8086172302,Aditya Singh,2139027119,Rohan Kumar,92532.78,2024-03-11,06:35:01,5281719.62,880864.17,Car Loan,770577.82
22,CREDIT,IMPS,2119980130,Rahul Kumar,2139027119,Rohan Kumar,72688.94,2024-03-13,20:10:47,8075480.11,880864.17,Car Loan,770577.82
23,CREDIT,IMPS,2445662585,Vivaan Kapoor,2139027119,Rohan Kumar,100836.34,2024-03-16,14:47:05,1741065.65,880864.17,Car Loan,770577.82
24,CREDIT,UPI,5736462531,Ishaan Reddy,2139027119,Rohan Kumar,67063.6,2024-03-17,21:26:36,-689669.63,880864.17,Car Loan,770577.82
25,CREDIT,NEFT,5284391408,Ishaan Iyer,2139027119,Rohan Kumar,76782.22,2024-03-28,01:36:23,3103076.59,880864.17,Car Loan,770577.82
26,CREDIT,NEFT,4700855390,Rohan Nair,2139027119,Rohan Kumar,9229.04,2024-04-01,21:07:48,6669274.54,880864.17,Car Loan,770577.82
27,CREDIT,UPI,3373077218,Vivaan Singh,2139027119,Rohan Kumar,47016.97,2024-04-03,02:26:43,-901029.2,880864.17,Car Loan,770577.82
28,DEBIT,IMPS,2139027119,Rohan Kumar,7114223633,Saanvi Das,102446.63,2024-04-06,02:34:24,4653439.82,880864.17,Car Loan,770577.82
29,DEBIT,RTGS,2139027119,Rohan Kumar,3030106617,Aisha Singh,60369.51,2024-04-08,03:30:21,6110851.53,880864.17,Car Loan,770577.82
30,DEBIT,UPI,2139027119,Rohan Kumar,3342331444,Kavya Mehta,93523.54,2024-04-08,12:05:43,7227247.54,880864.17,Car Loan,770577.82
31,CREDIT,RTGS,8217611860,Meera Joshi,2139027119,Rohan Kumar,44767.08,2024-04-08,18:29:50,3474535.69,880864.17,Car Loan,770577.82
32,DEBIT,Bank Transfer,2139027119,Rohan Kumar,9292791081,Krishna Gupta,111076.3,2024-04-11,11:48:44,5999775.23,880864.17,Car Loan,770577.82
33,DEBIT,RTGS,2139027119,Rohan Kumar,3181106786,Kabir Gupta,131863.33,2024-04-12,11:04:10,-587225.02,880864.17,Car Loan,770577.82
34,DEBIT,RTGS,2139027119,Rohan Kumar,4700855390,Rohan Nair,90331.17,2024-04-15,20:48:39,7320771.08,880864.17,Car Loan,770577.82
35,CREDIT,NEFT,2419179580,Ishaan Kapoor,2139027119,Rohan Kumar,59138.17,2024-04-21,07:33:32,5602400.89,880864.17,Car Loan,770577.82
36,DEBIT,RTGS,2139027119,Rohan Kumar,5310195918,Meera Joshi,25540.42,2024-04-23,01:17:04,427735.86,880864.17,Car Loan,770577.82
37,CREDIT,IMPS,3553440342,Neha Joshi,2139027119,Rohan Kumar,75927.3,2024-04-24,04:20:11,7890326.48,880864.17,Car Loan,770577.82
38,CREDIT,RTGS,3849232839,Ritika Patel,2139027119,Rohan Kumar,13539.86,2024-04-24,23:56:47,-1517820.19,880864.17,Car Loan,770577.82
39,CREDIT,IMPS,9703905715,Aisha Reddy,2139027119,Rohan Kumar,23015.18,2024-04-27,01:22:25,1335174.16,880864.17,Car Loan,770577.82
40,CREDIT,IMPS,2419179580,Ishaan Kapoor,2139027119,Rohan Kumar,112777.5,2024-04-30,00:49:14,5741984.58,880864.17,Car Loan,770577.82
41,CREDIT,IMPS,1311570307,Aryan Joshi,2139027119,Rohan Kumar,60544.1,2024-05-10,12:57:33,8466159.97,880864.17,Car Loan,770577.82
42,CREDIT,NEFT,9703905715,Aisha Reddy,2139027119,Rohan Kumar,106354.22,2024-05-11,14:33:13,1517637.85,880864.17,Car Loan,770577.82
43,DEBIT,RTGS,2139027119,Rohan Kumar,5736462531,Ishaan Reddy,122358.28,2024-05-11,20:03:47,692872.67,880864.17,Car Loan,770577.82
44,CREDIT,UPI,2445662585,Vivaan Kapoor,2139027119,Rohan Kumar,95763.24,2024-05-12,00:21:22,2162428.85,880864.17,Car Loan,770577.82
45,DEBIT,Bank Transfer,2139027119,Rohan Kumar,9680276057,Vivaan Reddy,34959.42,2024-05-19,02:21:25,-1456306.06,880864.17,Car Loan,770577.82
46,DEBIT,NEFT,2139027119,Rohan Kumar,2119980130,Rahul Kumar,46921.31,2024-05-20,06:28:26,5011730.58,880864.17,Car Loan,770577.82
47,CREDIT,IMPS,3342331444,Kavya Mehta,2139027119,Rohan Kumar,37630.15,2024-05-21,20:54:47,972957.79,880864.17,Car Loan,770577.82
48,DEBIT,RTGS,2139027119,Rohan Kumar,5067116918,Ritika Das,83488.44,2024-05-26,15:19:17,6553801.51,880864.17,Car Loan,770577.82
49,CREDIT,Bank Transfer,4700855390,Rohan Nair,2139027119,Rohan Kumar,16258.87,2024-06-02,03:12:24,6660045.5,880864.17,Car Loan,770577.82
50,DEBIT,UPI,2139027119,Rohan Kumar,8110054933,Ishaan Reddy,42211.5,2024-06-04,05:05:24,2928359.76,880864.17,Car Loan,770577.82
51,CREDIT,NEFT,8507497883,Kavya Patel,2139027119,Rohan Kumar,89971.94,2024-06-04,12:50:30,7507383.92,880864.17,Car Loan,770577.82
52,DEBIT,IMPS,2139027119,Rohan Kumar,8507497883,Kavya Patel,35396.33,2024-06-09,07:41:58,-1678160.62,880864.17,Car Loan,770577.82
53,DEBIT,UPI,2139027119,Rohan Kumar,2445662585,Vivaan Kapoor,58582.51,2024-06-10,00:35:13,2970571.26,880864.17,Car Loan,770577.82
54,DEBIT,Bank Transfer,2139027119,Rohan Kumar,6687206971,Kabir Mehta,1871.11,2024-06-10,07:19:21,-117954.99,880864.17,Car Loan,770577.82
55,DEBIT,IMPS,2139027119,Rohan Kumar,8507497883,Kavya Patel,127183.86,2024-06-11,11:15:31,5404974.6,880864.17,Car Loan,770577.82
