Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,DEBIT,IMPS,8110054933,Ishaan Reddy,3783290795,Diya Nair,133100.5,2024-01-01,06:52:21,-9654795.14,914547.59,Personal Loan,328599.6
2,CREDIT,IMPS,6464693977,Vihaan Joshi,8110054933,Ishaan Reddy,9123.7,2024-01-01,19:40:58,-3817341.95,914547.59,Personal Loan,328599.6
3,CREDIT,UPI,8316648259,Aarav Iyer,8110054933,Ishaan Reddy,34579.91,2024-01-04,06:45:48,-4413696.25,914547.59,Personal Loan,328599.6
4,DEBIT,IMPS,8110054933,Ishaan Reddy,3030106617,Aisha Singh,66337.12,2024-01-11,05:03:36,-3073244.26,914547.59,Personal Loan,328599.6
5,CREDIT,NEFT,9292791081,Krishna Gupta,8110054933,Ishaan Reddy,110419.47,2024-01-12,12:46:26,-2162003.84,914547.59,Personal Loan,328599.6
6,CREDIT,IMPS,5310195918,Meera Joshi,8110054933,Ishaan Reddy,110190.19,2024-01-26,20:14:46,-3197838.72,914547.59,Personal Loan,328599.6
7,CREDIT,RTGS,8086172302,Aditya Singh,8110054933,Ishaan Reddy,66626.92,2024-01-27,19:44:55,-7701535.1,914547.59,Personal Loan,328599.6
8,CREDIT,IMPS,3373077218,Vivaan Singh,8110054933,Ishaan Reddy,56436.56,2024-02-05,02:44:10,-2513177.35,914547.59,Personal Loan,328599.6
9,DEBIT,RTGS,8110054933,Ishaan Reddy,7609857128,Diya Singh,336.98,2024-02-07,06:17:33,-4287696.89,914547.59,Personal Loan,328599.6
10,DEBIT,RTGS,8110054933,Ishaan Reddy,9256195745,Ananya Mehta,66621.74,2024-02-08,17:38:08,-6075535.84,914547.59,Personal Loan,328599.6
11,CREDIT,IMPS,3342331444,Kavya Mehta,8110054933,Ishaan Reddy,16577.96,2024-02-10,01:09:13,315218.59,914547.59,Personal Loan,328599.6
12,CREDIT,UPI,3181106786,Kabir Gupta,8110054933,Ishaan Reddy,31384.66,2024-02-11,06:34:25,-5448611.64,914547.59,Personal Loan,328599.6
13,CREDIT,UPI,5284391408,Ishaan Iyer,8110054933,Ishaan Reddy,106513.24,2024-02-14,16:13:59,-9313301.79,914547.59,Personal Loan,328599.6
14,DEBIT,IMPS,8110054933,Ishaan Reddy,1540137296,Simran Gupta,59467.79,2024-02-15,05:34:28,-4841356.83,914547.59,Personal Loan,328599.6
15,CREDIT,UPI,5736462531,Ishaan Reddy,8110054933,Ishaan Reddy,37145.47,2024-02-15,12:39:59,-2476031.88,914547.59,Personal Loan,328599.6
16,CREDIT,IMPS,8325785916,Ananya Mehta,8110054933,Ishaan Reddy,108945.31,2024-02-16,02:44:01,-2948046.2,914547.59,Personal Loan,328599.6
17,CREDIT,NEFT,7609857128,Diya Singh,8110054933,Ishaan Reddy,119925.86,2024-02-21,09:42:15,-9911056.34,914547.59,Personal Loan,328599.6
18,CREDIT,NEFT,2015242176,Rohan Gupta,8110054933,Ishaan Reddy,49058.91,2024-02-23,15:31:13,-6633377.75,914547.59,Personal Loan,328599.6
19,CREDIT,Bank Transfer,9256195745,Ananya Mehta,8110054933,Ishaan Reddy,139680.9,2024-02-24,22:26:58,947014.18,914547.59,Personal Loan,328599.6
20,DEBIT,UPI,8110054933,Ishaan Reddy,4713453204,Saanvi Das,86887.05,2024-02-25,16:12:49,-3446659.7,914547.59,Personal Loan,328599.6
