Sl No,Transaction Type,Mode,From Account,From Name,To Account,To Name,Amount,Date,Time,Savings Balance,FD Amount,Loan Type,Outstanding Loan
1,CREDIT,Bank Transfer,9292791081,Krishna Gupta,2445662585,Vivaan Kapoor,97960.26,2024-01-05,23:47:08,-648417.18,96716.38,Education Loan,1227265.76
2,CREDIT,RTGS,4745927824,Kabir Reddy,2445662585,Vivaan Kapoor,138458.45,2024-01-08,23:34:06,-427097.41,96716.38,Education Loan,1227265.76
3,CREDIT,NEFT,9680276057,Vivaan Reddy,2445662585,Vivaan Kapoor,148997.22,2024-01-09,16:52:25,-4788121.96,96716.38,Education Loan,1227265.76
4,CREDIT,RTGS,3373077218,Vivaan Singh,2445662585,Vivaan Kapoor,71146.75,2024-01-10,18:27:30,-928318.95,96716.38,Education Loan,1227265.76
5,CREDIT,Bank Transfer,9256195745,Ananya Mehta,2445662585,Vivaan Kapoor,79623.19,2024-01-14,03:57:40,-8191483.5,96716.38,Education Loan,1227265.76
6,CREDIT,UPI,2986972437,Krishna Sharma,2445662585,Vivaan Kapoor,12953.93,2024-01-14,11:11:30,-4365785.2,96716.38,Education Loan,1227265.76
7,DEBIT,IMPS,2445662585,Vivaan Kapoor,2015242176,Rohan Gupta,8511.63,2024-01-15,16:19:40,-3888663.14,96716.38,Education Loan,1227265.76
8,CREDIT,NEFT,4713453204,Saanvi Das,2445662585,Vivaan Kapoor,33136.56,2024-01-16,20:59:17,-746377.44,96716.38,Education Loan,1227265.76
9,CREDIT,UPI,5284391408,Ishaan Iyer,2445662585,Vivaan Kapoor,45316.71,2024-01-16,22:58:57,-7076239.37,96716.38,Education Loan,1227265.76
10,CREDIT,NEFT,5067116918,Ritika Das,2445662585,Vivaan Kapoor,31865.3,2024-01-18,01:15:09,-5532847.08,96716.38,Education Loan,1227265.76
11,CREDIT,NEFT,4272602734,Kavya Mehta,2445662585,Vivaan Kapoor,100741.68,2024-01-18,09:57:43,-6057585.92,96716.38,Education Loan,1227265.76
12,CREDIT,NEFT,9256195745,Ananya Mehta,2445662585,Vivaan Kapoor,79290.15,2024-01-19,17:53:26,-8112193.35,96716.38,Education Loan,1227265.76
13,DEBIT,IMPS,2445662585,Vivaan Kapoor,4745927824,Kabir Reddy,140442.07,2024-01-25,07:19:03,130635.99,96716.38,Education Loan,1227265.76
14,CREDIT,NEFT,2015242176,Rohan Gupta,2445662585,Vivaan Kapoor,42068.8,2024-02-04,18:55:43,-4073877.26,96716.38,Education Loan,1227265.76
15,DEBIT,RTGS,2445662585,Vivaan Kapoor,3181106786,Kabir Gupta,27071.09,2024-02-11,19:30:18,-6764523.41,96716.38,Education Loan,1227265.76
16,DEBIT,RTGS,2445662585,Vivaan Kapoor,5284391408,Ishaan Iyer,10186.91,2024-02-22,03:48:51,120449.08,96716.38,Education Loan,1227265.76
17,CREDIT,IMPS,2015242176,Rohan Gupta,2445662585,Vivaan Kapoor,6115.49,2024-02-25,22:23:08,-4115946.06,96716.38,Education Loan,1227265.76
18,CREDIT,NEFT,3553440342,Neha Joshi,2445662585,Vivaan Kapoor,13924.49,2024-02-26,16:10:47,-3536150.3,96716.38,Education Loan,1227265.76
19,DEBIT,UPI,2445662585,Vivaan Kapoor,4272602734,Kavya Mehta,56637.48,2024-03-02,10:26:22,-991688.68,96716.38,Education Loan,1227265.76
20,DEBIT,UPI,2445662585,Vivaan Kapoor,5067116918,Ritika Das,10169.43,2024-03-10,09:54:17,-8057336.71,96716.38,Education Loan,1227265.76
21,DEBIT,IMPS,2445662585,Vivaan Kapoor,2139027119,Rohan Kumar,100836.34,2024-03-16,14:47:05,19612.74,96716.38,Education Loan,1227265.76
22,CREDIT,RTGS,4745927824,Kabir Reddy,2445662585,Vivaan Kapoor,43509.97,2024-03-18,03:50:40,-565555.86,96716.38,Education Loan,1227265.76
23,CREDIT,Bank Transfer,8325785916,Ananya Mehta,2445662585,Vivaan Kapoor,8305.4,2024-03-22,03:06:19,-1317817.85,96716.38,Education Loan,1227265.76
24,CREDIT,Bank Transfer,3553440342,Neha Joshi,2445662585,Vivaan Kapoor,56341.2,2024-03-27,23:19:07,-3479809.1,96716.38,Education Loan,1227265.76
25,DEBIT,IMPS,2445662585,Vivaan Kapoor,3181106786,Kabir Gupta,32668.65,2024-03-28,16:23:10,-19787.0,96716.38,Education Loan,1227265.76
26,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,3181106786,Kabir Gupta,148549.5,2024-04-01,05:41:22,-2906944.98,96716.38,Education Loan,1227265.76
27,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,3030106617,Aisha Singh,45145.09,2024-04-04,16:39:55,-432069.85,96716.38,Education Loan,1227265.76
28,CREDIT,NEFT,8110054933,Ishaan Reddy,2445662585,Vivaan Kapoor,113790.45,2024-04-10,20:36:42,-7453215.85,96716.38,Education Loan,1227265.76
29,CREDIT,IMPS,2986972437,Krishna Sharma,2445662585,Vivaan Kapoor,26648.37,2024-04-10,21:51:12,-4284632.11,96716.38,Education Loan,1227265.76
30,CREDIT,NEFT,6464693977,Vihaan Joshi,2445662585,Vivaan Kapoor,119912.4,2024-04-14,12:51:25,-1703638.12,96716.38,Education Loan,1227265.76
31,CREDIT,UPI,3181106786,Kabir Gupta,2445662585,Vivaan Kapoor,46753.06,2024-04-20,03:48:59,-3550074.79,96716.38,Education Loan,1227265.76
32,CREDIT,Bank Transfer,3746317213,Krishna Iyer,2445662585,Vivaan Kapoor,60166.05,2024-04-25,01:59:00,443652.08,96716.38,Education Loan,1227265.76
33,DEBIT,UPI,2445662585,Vivaan Kapoor,9703905715,Aisha Reddy,125876.37,2024-04-25,11:14:18,-3032821.35,96716.38,Education Loan,1227265.76
34,DEBIT,NEFT,2445662585,Vivaan Kapoor,1298737106,Krishna Gupta,65619.53,2024-04-28,02:09:56,-4943309.97,96716.38,Education Loan,1227265.76
35,CREDIT,IMPS,1540137296,Simran Gupta,2445662585,Vivaan Kapoor,73028.94,2024-04-28,13:08:35,-5311009.79,96716.38,Education Loan,1227265.76
36,DEBIT,RTGS,2445662585,Vivaan Kapoor,5284391408,Ishaan Iyer,49606.42,2024-05-02,19:57:33,-921090.85,96716.38,Education Loan,1227265.76
37,CREDIT,Bank Transfer,5141907136,Diya Iyer,2445662585,Vivaan Kapoor,142491.18,2024-05-05,04:44:34,-5046569.57,96716.38,Education Loan,1227265.76
38,DEBIT,UPI,2445662585,Vivaan Kapoor,5310195918,Meera Joshi,124226.51,2024-05-05,05:36:59,-3819300.29,96716.38,Education Loan,1227265.76
39,CREDIT,NEFT,3181106786,Kabir Gupta,2445662585,Vivaan Kapoor,36300.06,2024-05-09,19:38:11,-3596827.85,96716.38,Education Loan,1227265.76
40,CREDIT,IMPS,5310195918,Meera Joshi,2445662585,Vivaan Kapoor,122856.41,2024-05-10,00:51:32,-1354685.05,96716.38,Education Loan,1227265.76
41,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,1854316681,Aarav Mehta,62130.13,2024-05-11,13:49:36,-5954043.92,96716.38,Education Loan,1227265.76
42,DEBIT,UPI,2445662585,Vivaan Kapoor,2139027119,Rohan Kumar,95763.24,2024-05-12,00:21:22,-7240787.38,96716.38,Education Loan,1227265.76
43,DEBIT,UPI,2445662585,Vivaan Kapoor,1854316681,Aarav Mehta,62454.72,2024-05-13,08:53:56,-7836691.34,96716.38,Education Loan,1227265.76
44,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,9256195745,Ananya Mehta,53151.75,2024-05-24,13:41:13,-5774226.43,96716.38,Education Loan,1227265.76
45,CREDIT,IMPS,6687206971,Kabir Mehta,2445662585,Vivaan Kapoor,109519.96,2024-05-25,10:54:50,-5721121.95,96716.38,Education Loan,1227265.76
46,CREDIT,IMPS,3849232839,Ritika Patel,2445662585,Vivaan Kapoor,81459.88,2024-05-25,16:56:25,-2138829.44,96716.38,Education Loan,1227265.76
47,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,2119980130,Rahul Kumar,146601.65,2024-05-28,03:20:48,-4110293.56,96716.38,Education Loan,1227265.76
48,DEBIT,NEFT,2445662585,Vivaan Kapoor,7114223633,Saanvi Das,15981.09,2024-06-02,04:19:08,-7386018.71,96716.38,Education Loan,1227265.76
49,DEBIT,IMPS,2445662585,Vivaan Kapoor,8086172302,Aditya Singh,114225.84,2024-06-07,19:27:48,-5615969.77,96716.38,Education Loan,1227265.76
50,DEBIT,UPI,2445662585,Vivaan Kapoor,3553440342,Neha Joshi,76914.88,2024-06-09,11:02:22,-5721074.68,96716.38,Education Loan,1227265.76
51,CREDIT,UPI,2139027119,Rohan Kumar,2445662585,Vivaan Kapoor,58582.51,2024-06-10,00:35:13,-2789569.24,96716.38,Education Loan,1227265.76
52,DEBIT,IMPS,2445662585,Vivaan Kapoor,3342331444,Kavya Mehta,127392.08,2024-06-18,21:20:10,-8184728.79,96716.38,Education Loan,1227265.76
53,CREDIT,UPI,4733616459,Ishaan Reddy,2445662585,Vivaan Kapoor,137594.98,2024-06-23,07:26:49,813020.69,96716.38,Education Loan,1227265.76
54,CREDIT,RTGS,2119980130,Rahul Kumar,2445662585,Vivaan Kapoor,138955.16,2024-06-24,20:17:09,-3212164.2,96716.38,Education Loan,1227265.76
55,CREDIT,Bank Transfer,5047709743,Vihaan Das,2445662585,Vivaan Kapoor,50726.44,2024-06-26,01:04:59,-6646222.24,96716.38,Education Loan,1227265.76
56,CREDIT,Bank Transfer,6464693977,Vihaan Joshi,2445662585,Vivaan Kapoor,128277.03,2024-06-27,05:49:51,-1823550.52,96716.38,Education Loan,1227265.76
57,CREDIT,IMPS,4700855390,Rohan Nair,2445662585,Vivaan Kapoor,95675.8,2024-06-28,01:53:25,-4378739.13,96716.38,Education Loan,1227265.76
58,CREDIT,NEFT,5067116918,Ritika Das,2445662585,Vivaan Kapoor,92392.95,2024-07-02,20:26:38,-5564712.38,96716.38,Education Loan,1227265.76
59,DEBIT,IMPS,2445662585,Vivaan Kapoor,6464693977,Vihaan Joshi,129056.96,2024-07-03,06:57:54,819756.23,96716.38,Education Loan,1227265.76
60,CREDIT,Bank Transfer,9256195745,Ananya Mehta,2445662585,Vivaan Kapoor,85773.24,2024-07-04,11:35:21,-8026420.11,96716.38,Education Loan,1227265.76
61,DEBIT,IMPS,2445662585,Vivaan Kapoor,3181106786,Kabir Gupta,59019.49,2024-07-16,19:50:36,760736.74,96716.38,Education Loan,1227265.76
62,DEBIT,NEFT,2445662585,Vivaan Kapoor,1540137296,Simran Gupta,64649.37,2024-07-30,11:05:17,-6443823.32,96716.38,Education Loan,1227265.76
63,DEBIT,IMPS,2445662585,Vivaan Kapoor,9292791081,Krishna Gupta,1056.94,2024-08-01,14:03:20,-3033878.29,96716.38,Education Loan,1227265.76
64,DEBIT,NEFT,2445662585,Vivaan Kapoor,3030106617,Aisha Singh,100979.35,2024-08-04,04:58:25,-6897029.05,96716.38,Education Loan,1227265.76
65,CREDIT,IMPS,2015242176,Rohan Gupta,2445662585,Vivaan Kapoor,139049.62,2024-08-05,08:16:35,-4122061.55,96716.38,Education Loan,1227265.76
66,DEBIT,UPI,2445662585,Vivaan Kapoor,9680276057,Vivaan Reddy,113365.83,2024-08-05,09:44:10,-4765846.5,96716.38,Education Loan,1227265.76
67,DEBIT,RTGS,2445662585,Vivaan Kapoor,3342331444,Kavya Mehta,144224.23,2024-08-11,23:51:03,-4526441.84,96716.38,Education Loan,1227265.76
68,DEBIT,UPI,2445662585,Vivaan Kapoor,2119980130,Rahul Kumar,129626.32,2024-08-14,16:23:35,-2038024.33,96716.38,Education Loan,1227265.76
69,CREDIT,Bank Transfer,2139027119,Rohan Kumar,2445662585,Vivaan Kapoor,66647.57,2024-08-25,14:21:41,-2848151.75,96716.38,Education Loan,1227265.76
70,DEBIT,RTGS,2445662585,Vivaan Kapoor,5047709743,Vihaan Das,37976.98,2024-08-27,10:52:34,-6935006.03,96716.38,Education Loan,1227265.76
71,CREDIT,IMPS,4700855390,Rohan Nair,2445662585,Vivaan Kapoor,79512.82,2024-09-07,10:14:26,-4474414.93,96716.38,Education Loan,1227265.76
72,DEBIT,RTGS,2445662585,Vivaan Kapoor,6971815972,Ritika Iyer,21975.63,2024-09-16,17:56:37,-6082768.54,96716.38,Education Loan,1227265.76
73,DEBIT,RTGS,2445662585,Vivaan Kapoor,5047709743,Vihaan Das,85836.87,2024-09-20,10:30:34,-6039880.79,96716.38,Education Loan,1227265.76
74,DEBIT,Bank Transfer,2445662585,Vivaan Kapoor,4713453204,Saanvi Das,36662.55,2024-09-28,00:05:16,-8221391.34,96716.38,Education Loan,1227265.76
75,DEBIT,RTGS,2445662585,Vivaan Kapoor,1311570307,Aryan Joshi,131969.11,2024-09-29,01:26:18,-564038.96,96716.38,Education Loan,1227265.76
